steel_name,knife_steel,application_class,note
L6,1,carbon-knife,"Low-alloy tough steel used in blades"
LC200N,1,stainless-knife,"Nitrogen cutlery stainless (Z-Finit/Cronidur 30)"
M2,1,hss,"High-speed steel with long knife history"
M390,1,stainless-knife,"Bohler PM cutlery stainless"
M398,1,stainless-knife,"Bohler PM cutlery stainless"
Maxamet,1,pm-tool,"Carpenter PM tool steel used in knives"
Mirrax 40,0,plastic-mould,"Uddeholm corrosion-resistant plastic-mould steel"
Mirrax ESR,0,plastic-mould,"Uddeholm corrosion-resistant plastic-mould steel"
N690,1,stainless-knife,"Bohler cutlery stainless"
Nimax,0,plastic-mould,"Uddeholm plastic-mould steel"
Niolox,1,stainless-knife,"Niobium cutlery stainless (SB1)"
Nitro-V,1,stainless-knife,"Nitrogen-enhanced AEB-L variant for knives"
O1,1,cold-work,"Oil-hardening tool steel; long knife history"
Orvar 2M,0,hot-work,"Uddeholm H13-type hot-work die steel"
Orvar Supreme,0,hot-work,"Uddeholm H13-type hot-work die steel"
QRO 90 Supreme,0,hot-work,"Uddeholm hot-work die steel"
Ramax HH,0,holder,"Uddeholm pre-hardened stainless holder steel"
Rigor,1,cold-work,"Uddeholm A2-type cold-work steel with knife use"
Royalloy,0,holder,"Uddeholm pre-hardened holder steel"
SG2,1,stainless-knife,"Takefu PM cutlery stainless (R2); Japanese kitchen knives"
Skolvar,0,machinery,"Uddeholm machinery steel; no established knife use"
Sleipner,1,cold-work,"Uddeholm cold-work steel used in production knives"
Stavax ESR,1,stainless-knife,"Uddeholm 420-type stainless used in knives and moulds"
Sverker 21,1,cold-work,"Uddeholm D2-equivalent used in knives"
Sverker 3,1,cold-work,"Uddeholm D6-type cold-work steel with knife use"
Tyrax ESR,0,plastic-mould,"Uddeholm plastic-mould steel"
UHB 11,0,machinery,"Uddeholm plain-carbon machinery steel; no established knife use"
Unimax,1,hot-work,"Uddeholm hot-work steel used by custom knifemakers"
V-Toku 2,1,carbon-knife,"Japanese carbon knife steel"
VG-1,1,stainless-knife,"Takefu cutlery stainless"
VG-10,1,stainless-knife,"Takefu cutlery stainless"
VG-2,1,stainless-knife,"Takefu cutlery stainless"
Vanadis 10,1,pm-tool,"Uddeholm PM cold-work steel used in knives"
Vanadis 23 SuperClean,1,pm-hss,"Uddeholm PM high-speed steel used in knives"
Vanadis 30 SuperClean,1,pm-hss,"Uddeholm PM high-speed steel used in knives"
Vanadis 4 Extra,1,pm-tool,"Uddeholm PM cold-work steel; knife staple"
Vanadis 60 SuperClean,1,pm-hss,"Uddeholm PM high-speed steel used in knives"
Vanadis 8,1,pm-tool,"Uddeholm PM cold-work steel used in knives"
Vanax,1,stainless-knife,"Uddeholm nitrogen PM rustproof knife stainless"
Vanax SuperClean,1,stainless-knife,"Uddeholm nitrogen PM rustproof knife stainless"
Vancron SuperClean,1,pm-tool,"Uddeholm nitrogen PM cold-work steel used in knives"
Vidar 1,0,hot-work,"Uddeholm H11-type hot-work die steel"
Vidar 1 ESR,0,hot-work,"Uddeholm H11-type hot-work die steel"
Vidar Superior,0,hot-work,"Uddeholm H11-type hot-work die steel"
Viking,0,machinery,"Uddeholm machinery steel; no established knife use"
W1,1,carbon-knife,"Water-hardening carbon tool steel used in blades"
W2,1,carbon-knife,"Water-hardening carbon tool steel used in blades"
White #1,1,carbon-knife,"Hitachi Shirogami; Japanese kitchen knives"
White #2,1,carbon-knife,"Hitachi Shirogami; Japanese kitchen knives"
Z-Max,1,pm-tool,"Zapp PM tool steel used in knives"
Z-Tuff,1,pm-tool,"Zapp PM tough tool steel used in knives"
ZDP-189,1,stainless-knife,"Hitachi PM cutlery stainless"
